"0"20240525"083628"Z20SDO"
"1"1204"0"000000001"07000"0"00"20240524" 000000000000388868"2"00"
"1"1204"0"000103794"05924"0"00"20240524" 000000000000066855"0"00"
"1"1204"0"000103794"05927"0"00"20240524" 000000000000000041"0"00"
"1"1204"0"000103794"45701"0"00"20240524" 000000000000066855"0"00"
"1"1204"0"000103814"07000"0"00"20240524" 000000000000231161"2"00"
"1"1204"0"000103814"08000"0"00"20240524" 000000000000121557"2"00"
"1"1204"0"000103840"07000"0"00"20240524" 000000000000000634"0"00"
"1"1204"0"000103840"08000"0"00"20240524" 000000000000056049"2"00"
"1"1204"0"000103856"05924"0"00"20240524" 000000000000008107"0"00"
"1"1204"0"000103856"05927"0"00"20240524" 000000000000000005"0"00"
"1"1204"0"000103856"07000"0"00"20240524" 000000000000262628"2"00"
"1"1204"0"000103856"40290"0"00"20240524" 000000000000009426"0"00"
"1"1204"0"000103856"45701"0"00"20240524" 000000000000008107"0"00"
"1"1204"0"000103856"71092"0"00"20240524" 000000000000009426"0"00"
"1"1204"0"000103856"71274"0"00"20240524" 000000000000000021"0"00"
"1"1204"0"000103871"08000"0"00"20240524" 000000000000178429"2"00"
"1"1204"0"000104105"00733"0"00"20240524" 000000000000000497"0"00"
"1"1204"0"000104105"08000"0"00"20240524" 000000000000862918"2"00"
"1"1204"0"000104143"02225"0"00"20240524" 000000000000001466"0"00"
"1"1204"0"000104143"02702"0"00"20240524" 000000000000001466"0"00"
"1"1204"0"000104143"02784"0"00"20240524" 000000000000001466"0"00"
"1"1204"0"000104143"02827"0"00"20240524" 000000000000001466"0"00"
"1"1204"0"000104173"02226"0"00"20240524" 000000000000002323"0"00"
"1"1204"0"000104173"02703"0"00"20240524" 000000000000007766"0"00"
"1"1204"0"000104173"02786"0"00"20240524" 000000000000007766"0"00"
"1"1204"0"000104173"02829"0"00"20240524" 000000000000007766"0"00"
"1"1204"0"000104239"08000"0"00"20240524" 000000000000051977"2"00"
"1"1204"0"000104421"08000"0"00"20240524" 000000000000501201"2"00"
"1"1204"0"000104516"08000"0"00"20240524" 000000000000070074"2"00"
"1"1204"0"000104520"07000"0"00"20240524" 000000000000055757"2"00"
"1"1204"0"000104520"08000"0"00"20240524" 000000000000000352"2"00"
"1"1204"0"000104597"07000"0"00"20240524" 000000000000068916"2"00"
"1"1204"0"000104597"08000"0"00"20240524" 000000000000000031"0"00"
"1"1204"0"000104618"07000"0"00"20240524" 000000000000000979"0"00"
"1"1204"0"000104618"08000"0"00"20240524" 000000000000071838"2"00"
"1"1204"0"000104624"08000"0"00"20240524" 000000000000125042"2"00"
"1"1204"0"000104733"08000"0"00"20240524" 000000000000013261"2"00"
"1"1204"0"000104805"00710"0"00"20240524" 000000000000000136"0"00"
"1"1204"0"000104870"07000"0"00"20240524" 000000000000000520"0"00"
"1"1204"0"000104876"07000"0"00"20240524" 000000000000001291"0"00"
"1"1204"0"000104876"08000"0"00"20240524" 000000000000000386"2"00"
"1"1204"0"000105133"02225"0"00"20240524" 000000000000002614"0"00"
"1"1204"0"000105245"07000"0"00"20240524" 000000000000003653"0"00"
"1"1204"0"000105245"08000"0"00"20240524" 000000000000020197"1"00"
"1"1204"0"000105252"07000"0"00"20240524" 000000000000000893"0"00"
"1"1204"0"000105252"08000"0"00"20240524" 000000000000185468"2"00"
"1"1204"0"000105348"07000"0"00"20240524" 000000000000001556"0"00"
"1"1204"0"000105348"08000"0"00"20240524" 000000000000568686"2"00"
"1"1204"0"000105399"07000"0"00"20240524" 000000000000000647"0"00"
"1"1204"0"000105399"08000"0"00"20240524" 000000000000134574"2"00"
"1"1204"0"000105415"03660"0"00"20240524" 000000000000050000"0"00"
"1"1204"0"000105442"05105"0"00"20240524" 000000000000001078"0"00"
"1"1204"0"000105442"05106"0"00"20240524" 000000000000001083"0"00"
